"date","update","new_case","total_case","new_death","total_death","Population"
2020-01-12,77,1,1,0,0,68977400
2020-01-13,154,0,1,0,0,68977400
2020-01-14,231,0,1,0,0,68977400
2020-01-15,308,0,1,0,0,68977400
2020-01-16,385,0,1,0,0,68977400
2020-01-17,462,1,2,0,0,68977400
2020-01-18,539,0,2,0,0,68977400
2020-01-19,616,0,2,0,0,68977400
2020-01-20,693,0,2,0,0,68977400
2020-01-21,770,0,2,0,0,68977400
2020-01-22,847,2,4,0,0,68977400
2020-01-23,924,0,4,0,0,68977400
2020-01-24,1001,1,5,0,0,68977400
2020-01-25,1078,1,6,0,0,68977400
2020-01-26,1155,2,8,0,0,68977400
2020-01-27,1232,0,8,0,0,68977400
2020-01-28,1309,6,14,0,0,68977400
2020-01-29,1386,0,14,0,0,68977400
2020-01-30,1463,0,14,0,0,68977400
2020-01-31,1540,5,19,0,0,68977400
2020-02-01,1617,0,19,0,0,68977400
2020-02-02,1694,0,19,0,0,68977400
2020-02-03,1771,0,19,0,0,68977400
2020-02-04,1848,6,25,0,0,68977400
2020-02-05,1925,0,25,0,0,68977400
2020-02-06,2002,0,25,0,0,68977400
2020-02-07,2079,0,25,0,0,68977400
2020-02-08,2156,7,32,0,0,68977400
2020-02-09,2233,0,32,0,0,68977400
2020-02-10,2310,0,32,0,0,68977400
2020-02-11,2387,1,33,0,0,68977400
2020-02-12,2464,0,33,0,0,68977400
2020-02-13,2541,0,33,0,0,68977400
2020-02-14,2618,0,33,0,0,68977400
2020-02-15,2695,1,34,0,0,68977400
2020-02-16,2772,0,34,0,0,68977400
2020-02-17,2849,1,35,0,0,68977400
2020-02-18,2926,0,35,0,0,68977400
2020-02-19,3003,0,35,0,0,68977400
2020-02-20,3080,0,35,0,0,68977400
2020-02-21,3157,0,35,0,0,68977400
2020-02-22,3234,0,35,0,0,68977400
2020-02-23,3311,0,35,0,0,68977400
2020-02-24,3388,0,35,0,0,68977400
2020-02-25,3465,2,37,0,0,68977400
2020-02-26,3542,3,40,0,0,68977400
2020-02-27,3619,0,40,0,0,68977400
2020-02-28,3696,1,41,0,0,68977400
2020-02-29,3773,1,42,0,0,68977400
2020-03-01,3850,0,42,1,1,68977400
2020-03-02,3927,1,43,0,1,68977400
2020-03-03,4004,0,43,0,1,68977400
2020-03-04,4081,0,43,0,1,68977400
2020-03-05,4158,4,47,0,1,68977400
2020-03-06,4235,1,48,0,1,68977400
2020-03-07,4312,2,50,0,1,68977400
2020-03-08,4389,0,50,0,1,68977400
2020-03-09,4466,0,50,0,1,68977400
2020-03-10,4543,3,53,0,1,68977400
2020-03-11,4620,6,59,0,1,68977400
2020-03-12,4697,13,72,0,1,68977400
2020-03-13,4774,3,75,0,1,68977400
2020-03-14,4851,7,82,0,1,68977400
2020-03-15,4928,32,114,0,1,68977400
2020-03-16,5005,33,147,0,1,68977400
2020-03-17,5082,30,177,0,1,68977400
2020-03-18,5159,35,212,0,1,68977400
2020-03-19,5236,60,272,0,1,68977400
2020-03-20,5313,50,322,0,1,68977400
2020-03-21,5390,89,411,0,1,68977400
2020-03-22,5467,188,599,0,1,68977400
2020-03-23,5544,122,721,0,1,68977400
2020-03-24,5621,106,827,4,5,68977400
2020-03-25,5698,107,934,0,5,68977400
2020-03-26,5775,111,1045,0,5,68977400
2020-03-27,5852,91,1136,0,5,68977400
2020-03-28,5929,108,1244,1,6,68977400
2020-03-29,6006,141,1385,1,7,68977400
2020-03-30,6083,138,1523,2,9,68977400
2020-03-31,6160,128,1651,1,10,68977400
2020-04-01,6237,120,1771,2,12,68977400
